DAY,MONTH,YEAR,COUNTRY,PROVINCE,REGION,AGEGROUP,SEX,CASES
11,3,2020,Belgium,Hainaut,Wallonia,60-69,M,1
11,3,2020,Belgium,Liege,Wallonia,60-69,M,1
11,3,2020,Belgium,Liege,Wallonia,70-79,M,1
11,3,2020,Belgium,Hainaut,Wallonia,80-89,F,1
11,3,2020,Belgium,Liege,Wallonia,80-89,F,3
11,3,2020,Belgium,Hainaut,Wallonia,90+,F,1
11,3,2020,Belgium,Liege,Wallonia,90+,M,2
11,3,2020,Belgium,Namur,Wallonia,90+,M,1
12,3,2020,Belgium,Brussels,Brussels,0-9,F,1
12,3,2020,Belgium,Brussels,Brussels,20-29,F,1
12,3,2020,Belgium,Brussels,Brussels,20-29,M,3
12,3,2020,Belgium,Brussels,Brussels,30-39,F,1
12,3,2020,Belgium,Brussels,Brussels,30-39,M,1
12,3,2020,Belgium,Brussels,Brussels,40-49,F,5
12,3,2020,Belgium,Brussels,Brussels,40-49,M,6
12,3,2020,Belgium,Brussels,Brussels,50-59,M,1
12,3,2020,Belgium,Brussels,Brussels,50-59,M,3
12,3,2020,Belgium,Brussels,Brussels,60-69,F,2
12,3,2020,Belgium,Brussels,Brussels,60-69,M,3
12,3,2020,Belgium,Brussels,Brussels,70-79,F,4
12,3,2020,Belgium,Brussels,Brussels,70-79,M,2
12,3,2020,Belgium,Brussels,Brussels,80-89,F,2
12,3,2020,Belgium,Brussels,Brussels,80-89,M,2
12,3,2020,Belgium,Brussels,Brussels,90+,F,1
12,3,2020,Belgium,Brussels,Brussels,90+,M,1
12,3,2020,Belgium,Brussels,Brussels,90+,M,1
12,3,2020,Belgium,Antwerpen,Flanders,20-29,M,1
12,3,2020,Belgium,Antwerpen,Flanders,30-39,F,1
12,3,2020,Belgium,Antwerpen,Flanders,30-39,M,1
12,3,2020,Belgium,Antwerpen,Flanders,40-49,F,1
12,3,2020,Belgium,Antwerpen,Flanders,40-49,M,4
12,3,2020,Belgium,Antwerpen,Flanders,50-59,F,1
12,3,2020,Belgium,Antwerpen,Flanders,50-59,M,4
12,3,2020,Belgium,Antwerpen,Flanders,60-69,F,1
12,3,2020,Belgium,Antwerpen,Flanders,60-69,M,1
12,3,2020,Belgium,Antwerpen,Flanders,70-79,F,1
12,3,2020,Belgium,Antwerpen,Flanders,70-79,M,1
12,3,2020,Belgium,Antwerpen,Flanders,80-89,M,3
12,3,2020,Belgium,Antwerpen,Flanders,90+,F,4
12,3,2020,Belgium,BrabantWallon,Wallonia,40-49,F,2
12,3,2020,Belgium,BrabantWallon,Wallonia,40-49,M,3
12,3,2020,Belgium,BrabantWallon,Wallonia,50-59,M,1
12,3,2020,Belgium,BrabantWallon,Wallonia,60-69,F,3
12,3,2020,Belgium,BrabantWallon,Wallonia,70-79,F,2
